City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
510,Gat,IL,75.0,overcast clouds,31.61,34.76,OlusHome
518,Madang,PG,76.89,light rain,-5.22,145.8,Comfort Inn Hotel
520,La Palma,US,75.0,haze,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
522,Ancud,CL,70.0,clear sky,-41.87,-73.82,Hotel Arena Gruesa
523,Witu,KE,78.8,clear sky,-2.39,40.44,New City Guest House
525,Biak,ID,77.54,overcast clouds,-0.91,122.88,Kost Ariz
527,Isangel,VU,75.27,clear sky,-19.55,169.27,Volcano Sea View Tree House
533,Sao Joao Batista,BR,73.0,broken clouds,-27.28,-48.85,INNOVARE SLIM SÃO JOÃO BATISTA
541,Ndola,ZM,70.74,scattered clouds,-12.96,28.64,Chabanga Lodge iSpot
564,Roebourne,AU,72.36,overcast clouds,-20.78,117.13,Harding River Caravan Park
568,Tarakan,ID,76.53,overcast clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
590,Vila Velha,BR,75.2,broken clouds,-20.33,-40.29,Hotel Vitória Palace
593,Starkville,US,70.0,clear sky,33.45,-88.82,Hilton Garden Inn Starkville
595,Abnub,EG,77.0,clear sky,27.27,31.15,مسجد الخطبة
600,Harper,LR,79.21,broken clouds,4.38,-7.72,Screensaver
603,Riyadh,SA,71.6,clear sky,24.69,46.72,InterContinental Riyadh
605,Denpasar,ID,78.03,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
607,Alofi,NU,73.4,light rain,-19.06,-169.92,Taloa Heights
618,Payo,ID,72.18,overcast clouds,-3.75,103.64,Mess keban agung
621,Turayf,SA,71.6,broken clouds,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
623,Ukiah,US,75.0,clear sky,39.15,-123.21,Hampton Inn Ukiah
629,Ovalle,CL,79.38,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
630,Moerai,PF,75.88,light rain,-22.43,-151.33,Le Manotel
632,Isla Vista,US,73.99,clear sky,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
641,Betong,TH,71.13,overcast clouds,5.77,101.07,New Cathay Hotel
647,Luang Prabang,LA,72.72,broken clouds,19.89,102.13,Villa Oasis
648,Tecpan,GT,75.99,broken clouds,14.76,-90.99,San Ricardo Restaurante y Hotel
654,Lhokseumawe,ID,78.46,light rain,5.18,97.15,OYO 3278 Penginapan Alfajri
661,Gambela,ET,73.06,broken clouds,8.25,34.58,Solomon Debebe Hotel
664,Wewak,PG,79.47,light rain,-3.55,143.63,In Wewak Boutique Hotel
669,Luganville,VU,77.0,broken clouds,-15.53,167.17,The Espiritu Hotel
674,Benguela,AO,78.15,overcast clouds,-12.58,13.41,Hotel Praia Morena
678,Omboue,GA,75.16,overcast clouds,-1.57,9.26,Hotel Olako
680,Wanlaweyn,SO,78.33,moderate rain,2.62,44.89,Haji Qasim Hotel
691,Loreto,MX,73.22,clear sky,22.27,-101.97,José de Jesús Velásquez mora
695,Kota Tinggi,MY,78.8,few clouds,1.74,103.9,Canopy Tribe
700,Wanning,CN,70.68,heavy intensity rain,18.8,110.4,Paradise Hotel
