City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
51,Bredasdorp,ZA,-34.53,20.04,64.4,88,9,8.05,clear sky
52,Saint-Joseph,RE,-21.37,55.62,68.0,68,40,6.93,scattered clouds
53,Nioro,GM,13.35,-15.75,86.13,32,0,4.05,clear sky
54,Huarmey,PE,-10.07,-78.15,68.99,64,87,10.36,overcast clouds
55,Aden,YE,12.78,45.04,82.35,61,0,16.8,clear sky
56,Tura,IN,25.52,90.22,70.38,96,51,2.91,broken clouds
57,Santa Rita,BR,-7.11,-34.98,86.0,66,40,11.41,scattered clouds
58,Kutum,SD,14.2,24.67,78.82,22,47,10.98,scattered clouds
59,Iqaluit,CA,63.75,-68.51,12.2,78,20,2.24,few clouds
60,Puerto Ayora,EC,-0.74,-90.35,78.8,69,75,20.8,broken clouds
61,Tuktoyaktuk,CA,69.45,-133.04,3.2,84,75,5.82,broken clouds
62,Bluff,NZ,-46.6,168.33,48.0,79,78,11.01,broken clouds
63,Chapais,CA,49.78,-74.85,32.0,98,90,11.41,light snow
64,Ambilobe,MG,-13.2,49.05,72.27,72,43,5.82,scattered clouds
65,Balsas,BR,-7.53,-46.04,91.17,43,46,5.3,scattered clouds
66,Arroyo,ES,41.61,-4.8,64.0,77,0,5.82,clear sky
67,Kapaa,US,22.08,-159.32,71.6,94,1,5.82,clear sky
68,Hermanus,ZA,-34.42,19.23,64.99,78,0,8.01,clear sky
69,Tasiilaq,GL,65.61,-37.64,32.0,96,100,1.12,overcast clouds
70,Thompson,CA,55.74,-97.86,19.4,85,90,10.29,light snow
71,Aksu,CN,41.12,80.26,41.11,57,0,2.66,clear sky
72,Churapcha,RU,62.0,132.43,-18.06,88,14,1.74,few clouds
73,Tual,ID,-5.67,132.75,83.62,73,100,16.51,overcast clouds
74,Rikitea,PF,-23.12,-134.97,74.93,84,42,15.64,light rain
75,Lorengau,PG,-2.02,147.27,82.69,74,17,6.67,few clouds
76,Arraial Do Cabo,BR,-22.97,-42.03,71.6,73,75,25.28,broken clouds
77,Bud,US,39.45,-86.18,44.01,48,75,18.34,broken clouds
78,Iskateley,RU,67.68,53.15,28.11,98,100,15.93,light snow
79,Cape Town,ZA,-33.93,18.42,66.99,82,0,11.41,clear sky
80,Port Hedland,AU,-20.32,118.57,73.4,78,1,4.7,clear sky
81,Norman Wells,CA,65.28,-126.83,5.0,71,75,8.05,broken clouds
82,Yellowknife,CA,62.46,-114.35,17.01,92,90,5.82,light snow
83,Hami,CN,42.8,93.45,37.35,65,0,5.26,clear sky
84,Vao,NC,-22.67,167.48,74.07,85,100,17.45,overcast clouds
85,Rosarito,MX,32.33,-117.03,77.0,23,1,4.7,clear sky
86,Rolla,US,37.95,-91.77,48.99,39,1,17.22,clear sky
87,Camalu,MX,30.85,-116.07,84.99,8,0,3.0,clear sky
88,Vostok,RU,46.49,135.88,29.44,99,82,3.49,broken clouds
89,Jamestown,US,42.1,-79.24,41.0,93,90,13.87,mist
90,Chuy,UY,-33.7,-53.46,66.2,46,0,10.04,clear sky
91,Lauterbach,DE,50.63,9.4,57.0,95,100,8.99,overcast clouds
92,Tavda,RU,58.04,65.27,29.35,97,85,5.28,overcast clouds
93,Cabo San Lucas,MX,22.89,-109.91,91.0,54,48,3.0,scattered clouds
94,Saint-Philippe,RE,-21.36,55.77,68.0,68,40,6.93,scattered clouds
95,Estevan,CA,49.13,-102.98,46.4,39,1,16.11,clear sky
